ID	Name	ID	Buy Vol	Buy Avg	Buy Max	Buy Min	Buy StdDev	Buy Median	Buy Percentile	Sell Vol	Sell Avg	Sell Max	Sell Min	Sell StdDev	Sell Median	Sell Percentile
593	Tristan	593	3,456.00	402,817.14	476,485.98	135,000.03	92,812.52	468,001.51	476,485.98	3,505.00	531,597.50	563,998.98	518,999.99	13,864.38	519,989.66	519,524.94
594	Incursus	594	955.00	293,649.89	392,030.02	100,000.60	108,063.70	365,009.51	392,030.01	1,340.00	503,873.82	699,999.76	438,995.54	69,764.09	538,494.00	438,995.91
596	Impairor	596	15,000.00	8,923.39	10,000.01	8,351.32	494.13	9,012.15	10,000.00	305.00	64,661.33	80,000.00	30,000.00	14,985.14	63,999.48	63,806.78
597	Punisher	597	478.00	96,215.41	100,920.01	44,000.78	17,783.63	100,006.42	100,920.00	2,708.00	572,652.68	722,999.50	480,499.98	61,122.55	579,888.81	480,499.99
598	Breacher	598	3,236.00	400,435.64	483,282.13	214,131.56	65,577.51	366,100.04	483,022.34	402.00	747,074.03	849,899.90	549,999.98	130,098.66	809,934.38	549,999.99
599	Burst	599	1,050.00	168,620.50	226,003.04	11,002.58	91,603.40	108,001.35	225,169.68	2,623.00	406,289.21	425,799.99	339,997.89	31,298.38	423,894.94	339,999.86
601	Ibis	601	20,800.00	3,956.40	5,000.00	3,003.14	446.52	4,006.64	5,000.00	1,767.00	35,790.19	200,000.00	22,998.97	36,548.27	34,249.95	22,998.97
602	Kestrel	602	5,145.00	541,933.08	577,010.00	350,002.77	81,560.91	555,636.28	577,010.00	777.00	893,086.23	1,111,271.80	722,000.00	127,212.77	939,248.70	729,518.65
603	Merlin	603	3,343.00	310,092.02	362,930.38	111,000.00	81,738.05	328,014.31	362,930.38	1,396.00	439,713.50	540,000.00	399,999.99	50,339.31	428,998.74	413,650.14
605	Heron	605	2,487.00	324,534.00	412,000.41	250,000.00	50,897.61	328,669.54	412,000.37	1,023.00	877,941.40	2,001,254.66	510,000.00	701,211.95	541,113.22	530,790.32
606	Velator	606	36,355.00	3,775.33	12,003.13	516.15	5,284.37	555.14	12,003.07	2,526.00	79,724.34	120,053.05	34,999.99	20,184.65	84,689.00	34,999.99
607	Imicus	607	600.00	342,900.30	397,001.00	95,000.00	104,215.53	397,000.11	397,001.00	2,049.00	1,226,816.52	1,999,990.00	482,239.98	376,445.95	590,100.00	482,240.00
608	Atron	608	3,260.00	369,171.89	391,002.28	315,882.96	29,022.15	373,007.50	391,002.10	2,567.00	518,254.04	799,999.00	449,999.97	97,204.00	474,996.40	473,067.69
609	Maulus	609	2,393.00	386,680.18	399,151.05	350,050.25	14,091.19	397,344.54	399,151.00	785.00	699,917.34	699,999.99	699,890.00	44.00	699,890.50	699,890.00
615	Immolator	615	11.00	88,000,040.77	163,000,001.50	999,999.98	69,186,263.20	75,500,000.01	163,000,001.50	8.00	326,743,370.14	899,999,998.98	195,997,999.99	264,332,517.68	195,999,999.99	195,997,999.99
617	Echo	617	17.00	97,318,432.27	139,010,002.57	999,999.98	58,684,924.85	129,500,000.03	139,010,002.57	8.00	204,007,094.11	213,999,879.91	198,010,999.99	5,958,546.24	198,012,001.08	198,010,999.99
620	Osprey	620	329.00	8,282,841.41	8,950,022.05	7,537,639.66	436,881.43	8,606,012.49	8,950,022.04	616.00	9,889,995.19	9,889,996.99	9,888,888.00	480.20	9,889,996.99	9,889,987.42
621	Caracal	621	964.00	11,148,186.15	12,000,010.05	4,000,000.01	1,719,344.42	11,312,013.60	12,000,006.61	1,223.00	13,572,178.80	19,899,996.53	12,387,997.99	1,829,871.46	12,989,987.82	12,387,999.58
622	Stabber	622	267.00	10,084,319.00	10,300,001.20	7,500,000.00	835,183.62	10,300,000.62	10,300,001.19	452.00	12,032,871.01	15,546,997.87	11,599,899.99	990,598.82	11,799,834.97	11,697,294.25
623	Moa	623	202.00	10,349,417.36	10,851,037.36	7,650,010.00	1,184,726.22	10,851,036.19	10,851,037.36	506.00	11,925,400.26	13,749,496.84	11,699,680.92	678,197.35	11,699,681.89	11,699,680.92
624	Maller	624	220.00	10,618,635.61	11,111,115.14	9,000,004.00	545,263.82	10,511,235.56	11,111,115.12	449.00	12,408,495.13	13,399,997.99	12,099,997.98	305,358.43	12,397,963.99	12,099,999.45
625	Augoror	625	289.00	8,211,580.28	8,402,151.21	4,500,000.09	922,989.19	8,402,148.84	8,402,151.19	949.00	9,983,373.42	11,999,999.83	9,249,998.77	706,311.82	10,199,970.00	9,249,998.77
626	Vexor	626	186.00	9,465,080.83	10,750,012.11	6,121,105.02	1,661,649.38	10,710,011.58	10,750,012.11	1,123.00	13,098,813.68	14,999,999.99	11,875,899.44	806,352.83	12,000,000.00	11,875,899.44
627	Thorax	627	437.00	10,148,953.28	10,319,902.16	8,000,011.00	553,955.39	10,209,111.00	10,319,902.14	869.00	11,746,144.18	13,500,000.00	11,598,788.59	399,982.08	11,598,797.87	11,598,788.63
628	Arbitrator	628	250.00	7,904,586.16	8,600,001.75	7,000,012.00	565,419.31	7,940,526.34	8,600,001.75	617.00	10,171,431.29	12,999,999.00	9,299,968.49	754,789.76	9,594,999.50	9,299,969.34
629	Rupture	629	332.00	10,719,677.00	11,720,006.22	7,910,016.70	1,055,010.18	10,802,000.00	11,720,006.22	303.00	12,978,862.53	16,899,998.99	12,699,999.97	1,032,521.84	12,898,999.78	12,699,999.98
630	Bellicose	630	220.00	8,628,910.73	8,800,000.00	6,500,010.11	778,382.55	8,711,002.00	8,800,000.00	396.00	10,554,289.81	12,249,999.94	9,216,884.99	969,419.22	10,599,984.00	9,216,885.78
631	Scythe	631	373.00	8,171,250.99	8,500,029.86	6,500,000.00	556,217.87	8,500,009.10	8,500,029.67	358.00	10,149,604.33	10,799,984.94	9,700,000.00	436,511.33	9,889,997.96	9,700,000.00
632	Blackbird	632	293.00	7,841,933.35	8,313,073.78	6,000,016.60	685,928.90	8,013,070.73	8,313,073.78	641.00	9,886,185.47	10,499,998.85	9,341,998.90	383,662.24	10,147,998.97	9,341,998.93
633	Celestis	633	155.00	7,216,180.59	7,300,106.90	6,500,015.00	193,263.28	7,300,000.11	7,300,106.90	449.00	9,787,425.35	10,899,998.98	9,447,894.99	413,059.37	9,499,990.73	9,447,895.34
634	Exequror	634	237.00	8,115,299.41	8,155,520.65	7,700,005.00	144,152.25	8,155,188.30	8,155,520.65	785.00	10,515,594.87	14,499,999.84	9,149,990.93	1,288,360.99	9,155,187.00	9,149,990.97
638	Raven	638	43.00	177,330,021.13	181,702,004.00	170,000,776.97	4,749,780.74	180,005,033.07	181,702,003.35	212.00	195,655,140.75	208,999,799.99	188,850,383.00	6,599,635.02	194,989,783.90	188,850,383.00
639	Tempest	639	61.00	181,611,755.99	185,204,000.00	165,000,000.00	6,197,220.97	185,100,000.20	185,204,000.00	26.00	233,393,683.39	394,152,400.00	219,994,999.99	42,156,294.45	219,996,998.94	219,995,000.00
640	Scorpion	640	79.00	129,417,028.38	160,000,012.15	110,000,852.00	21,248,531.91	118,000,008.12	160,000,012.08	99.00	184,232,100.15	196,999,999.97	171,499,999.39	8,386,225.41	186,899,999.48	171,816,664.02
641	Megathron	641	41.00	160,968,192.62	161,112,000.01	160,100,041.00	420,290.40	161,110,001.66	161,112,000.00	449.00	193,709,419.58	299,999,999.99	179,699,975.78	23,099,617.47	184,999,996.99	179,699,978.78
642	Apocalypse	642	69.00	175,939,345.00	182,001,001.00	166,050,062.01	5,297,432.62	178,587,050.66	182,001,001.00	185.00	200,243,129.06	274,899,998.73	189,492,999.99	25,215,863.73	189,499,999.95	189,492,999.99
643	Armageddon	643	46.00	194,805,754.51	198,700,000.03	184,195,000.57	4,781,726.45	197,001,002.12	198,700,000.03	344.00	216,689,911.54	233,300,000.00	205,980,979.99	8,524,176.13	214,980,978.95	205,980,980.00
644	Typhoon	644	31.00	178,410,402.13	179,700,019.12	168,161,052.22	4,201,363.62	179,700,006.80	179,700,019.12	85.00	219,411,659.84	287,551,001.54	199,698,986.97	30,253,947.68	199,699,002.18	199,698,986.98
645	Dominix	645	71.00	181,673,336.21	190,000,006.62	130,000,100.00	10,826,177.62	186,900,000.00	190,000,006.60	183.00	208,876,929.19	232,250,000.00	204,000,004.88	7,696,521.95	205,500,000.00	204,000,005.57
648	Badger	648	1,843.00	355,767.83	596,135.80	194,998.96	144,515.10	194,998.96	596,135.63	2,373.00	991,271.12	999,999.97	854,999.77	36,285.74	999,999.97	871,867.94
649	Tayra	649	1,483.00	701,202.12	1,300,009.99	500,000.00	278,789.35	500,000.00	1,300,009.26	728.00	1,678,234.79	2,000,000.00	1,524,990.00	97,188.91	1,617,498.93	1,528,441.18
650	Nereus	650	769.00	1,084,644.84	1,282,828.80	500,001.84	256,988.48	1,111,115.64	1,282,828.80	615.00	3,243,842.62	6,899,999.00	1,509,997.00	1,452,278.22	1,665,994.50	1,509,997.00
651	Hoarder	651	893.00	672,350.03	999,994.96	650,000.05	118,566.25	651,447.00	999,994.96	306.00	1,248,950.79	1,382,999.95	1,098,997.00	86,361.81	1,257,993.98	1,121,430.30
652	Mammoth	652	1,050.00	1,071,200.13	1,220,037.06	540,100.07	215,758.63	1,220,019.01	1,220,037.06	429.00	1,718,143.39	2,039,993.96	1,598,019.89	163,409.29	1,699,979.98	1,598,019.90
653	Wreathe	653	896.00	900,161.13	1,179,954.01	600,000.00	245,933.80	685,256.01	1,179,954.00	338.00	1,394,423.96	1,414,999.96	1,375,684.00	16,040.81	1,385,990.00	1,375,684.00
654	Kryos	654	423.00	644,147.32	1,000,601.00	250,000.00	371,356.50	622,030.54	1,000,601.00	545.00	2,023,807.10	2,899,999.99	1,149,898.99	515,290.15	1,494,484.96	1,149,898.99
655	Epithal	655	1,409.00	291,129.45	1,000,012.05	1,000.00	466,189.85	100,101.00	1,000,012.05	3,615.00	1,584,393.89	3,025,000.70	1,100,000.00	537,736.11	1,144,998.94	1,137,681.95
656	Miasmos	656	320.00	1,000,954.31	1,001,005.08	1,000,902.12	40.45	1,000,931.01	1,001,005.08	1,209.00	2,035,626.43	2,248,989.98	1,180,299.84	426,991.30	2,229,997.87	1,185,706.24
657	Iteron Mark V	657	1,557.00	1,441,899.10	1,453,998.05	1,357,000.70	26,731.15	1,453,983.38	1,453,998.05	1,403.00	1,972,074.80	3,832,998.00	1,697,861.01	346,327.59	1,736,865.07	1,697,959.98
672	Caldari Shuttle	672	23,781.00	16,514.89	18,146.43	9,998.76	1,988.95	16,243.50	18,146.41	7,724.00	236,601.47	500,000.00	28,997.99	131,983.26	450,000.00	31,717.32
1223	Bistot	1223	250,700.00	3,261.82	4,502.00	1,600.00	898.86	4,251.77	4,502.00	54,423.00	6,652.17	7,999.99	5,464.85	539.23	5,990.00	5,464.93
1224	Pyroxeres	1224	43,412,900.00	45.04	51.77	30.00	7.76	50.00	51.77	37,269,293.00	61.13	66.49	53.56	4.18	65.00	53.62
1225	Crokite	1225	401,787.00	3,326.74	3,851.04	1,900.00	572.92	3,750.53	3,851.04	13,051.00	5,199.18	7,503.26	4,897.00	766.44	4,988.99	4,897.00
1226	Jaspet	1226	3,780,200.00	363.87	434.65	200.00	84.39	425.50	434.65	136,313.00	550.50	599.00	540.00	22.45	540.00	540.00
1227	Omber	1227	29,527,000.00	80.88	110.02	63.85	13.19	80.02	110.02	16,003,626.00	233.13	249.00	117.00	48.99	249.00	118.56
1228	Scordite	1228	164,250,000.00	26.08	27.31	10.99	5.03	26.67	27.29	19,531,428.00	30.37	33.90	29.35	1.76	29.45	29.37
1229	Gneiss	1229	479,776.00	605.82	1,021.15	18.89	373.51	519.97	1,021.13	26,820.00	1,799.83	2,191.00	1,500.00	243.44	1,732.30	1,500.00
1230	Veldspar	1230	1,335,799,383.00	17.67	18.75	10.00	3.28	18.00	18.75	45,864,999.00	20.80	21.50	19.00	0.71	21.49	19.11
1231	Hemorphite	1231	3,821,600.00	701.62	852.00	300.00	185.61	781.99	851.09	1,962,959.00	2,616.28	3,999.99	879.99	838.39	3,999.99	1,038.62
1232	Dark Ochre	1232	54,541.00	1,012.19	1,012.24	1,012.12	0.05	1,012.16	1,012.24	10,203.00	2,153.20	2,360.00	2,149.00	105.50	2,254.50	2,149.00
1944	Bestower	1944	1,100.00	1,023,972.91	1,602,024.00	666,680.03	329,707.17	827,503.70	1,602,024.00	311.00	1,870,017.29	2,899,998.90	1,789,500.00	245,054.75	1,799,894.00	1,789,583.33
2006	Omen	2006	245.00	10,184,522.86	10,500,019.01	8,510,000.00	394,575.58	10,500,010.42	10,500,019.01	566.00	11,712,146.55	22,000,000.00	10,999,999.99	1,896,429.44	11,298,985.78	11,222,211.52
2073	Microorganisms	2073	1,453,298,798.00	1.35	1.86	0.58	0.48	1.13	1.84	2,252,028,419.00	22.63	50.01	1.87	13.48	25.01	2.39
2078	Zephyr	2078	112.00	22,162,415.73	30,002,003.70	10,099,999.99	7,036,729.68	22,000,021.55	30,002,003.70	130.00	53,358,791.83	84,898,999.99	36,887,000.00	9,310,347.71	50,999,999.99	36,887,285.71
2161	Crucifier	2161	2,766.00	241,256.72	406,000.01	40,000.05	170,525.95	300,000.00	406,000.00	2,454.00	603,810.22	899,999.83	450,000.02	108,997.78	499,999.77	456,206.91
2267	Base Metals	2267	410,000,000.00	2.03	2.62	0.75	0.60	1.99	2.62	943,236,271.00	17.42	50.01	2.66	10.51	20.01	3.56
2268	Aqueous Liquids	2268	775,000,000.00	1.80	2.46	0.94	0.55	1.77	2.40	1,077,962,489.00	34.53	100.00	2.47	23.34	20.00	2.49
2270	Noble Metals	2270	1,017,090,909.00	3.91	4.09	3.89	0.07	3.89	4.07	755,368,157.00	10.09	30.00	4.20	7.22	5.37	4.48
2272	Heavy Metals	2272	492,500,000.00	2.70	3.29	0.82	0.72	2.50	3.28	812,559,738.00	16.82	80.01	3.78	14.96	9.97	3.86
2286	Planktic Colonies	2286	154,110,000.00	3.89	6.38	1.42	1.62	3.11	6.38	374,001,072.00	35.03	100.00	6.80	21.92	22.49	6.97
2287	Complex Organisms	2287	287,000,000.00	4.18	7.04	1.42	1.77	2.26	7.03	74,750,402.00	14.27	20.00	9.99	2.50	13.66	11.57
2288	Carbon Compounds	2288	454,000,000.00	1.03	1.18	0.37	0.32	1.16	1.17	2,770,940,564.00	18.22	50.01	1.87	10.99	20.00	1.92
2305	Autotrophs	2305	665,262,135.00	3.96	4.65	1.60	0.79	4.24	4.54	624,462,995.00	18.12	50.00	7.95	12.29	14.94	7.99
2306	Non-CS Crystals	2306	381,000,000.00	4.01	5.75	3.01	1.00	3.56	5.63	649,965,260.00	36.19	100.01	5.99	23.05	20.00	6.65
2307	Felsic Magma	2307	224,500,000.00	2.85	3.67	1.10	0.89	2.26	3.66	352,836,001.00	11.90	30.00	4.48	5.35	5.39	4.94
2308	Suspended Plasma	2308	125,000,000.00	1.69	2.18	1.20	0.36	1.95	2.18	384,347,557.00	10.88	30.00	2.69	6.80	4.86	2.91
2309	Ionic Solutions	2309	219,987,987.00	2.24	3.56	0.30	1.35	2.76	3.55	321,493,636.00	11.49	30.01	3.94	6.21	6.00	4.67
2310	Noble Gas	2310	1,567,298,796.00	1.14	1.62	0.38	0.41	1.15	1.41	1,961,344,630.00	17.80	50.01	2.49	11.37	17.51	2.62
2311	Reactive Gas	2311	185,000,000.00	1.02	3.31	0.19	1.38	0.70	3.11	203,371,240.00	40.44	100.00	4.50	28.56	40.01	6.06
2312	Supertensile Plastics	2312	501,339.00	11,186.49	12,907.70	6,670.01	2,125.26	11,120.00	12,907.67	457,887.00	19,042.52	21,978.00	17,084.95	1,662.41	19,495.93	17,088.34
2317	Oxides	2317	521,560.00	7,582.27	7,717.81	4,140.00	915.15	7,681.22	7,717.81	1,341,728.00	9,527.78	16,399.98	8,190.84	1,872.40	8,494.96	8,190.93
2319	Test Cultures	2319	416,410.00	5,205.90	5,220.90	5,200.25	6.77	5,202.77	5,214.55	452,952.00	9,922.88	24,999.97	6,000.00	3,208.66	8,073.99	7,087.55
2321	Polyaramids	2321	491,551.00	21,644.53	24,507.33	9,000.20	5,815.52	24,505.52	24,507.33	419,772.00	28,290.20	44,999.00	25,478.10	5,284.96	26,494.67	25,478.10
2327	Microfiber Shielding	2327	520,530.00	14,729.44	24,301.16	7,001.06	5,408.09	14,000.07	24,301.16	83,598.00	26,543.08	38,757.30	25,878.94	4,904.95	25,879.97	25,878.95
2328	Water-Cooled CPU	2328	165,399.00	3,803.30	4,815.09	50.00	1,599.84	4,813.30	4,815.09	1,108,860.00	7,728.22	19,999.86	5,985.66	2,101.43	6,962.42	5,985.67
2329	Biocells	2329	889,016.00	8,910.49	10,021.01	5,660.02	1,314.81	9,516.00	10,021.00	750,347.00	12,881.35	16,998.97	11,299.99	1,479.34	12,997.43	11,299.99
2344	Condensates	2344	188,733.00	49,577.46	62,005.02	33,202.24	9,430.60	48,700.02	62,005.01	51,786.00	90,921.81	91,999.00	84,994.52	2,839.71	91,998.98	84,994.52
2345	Camera Drones	2345	88,469.00	92,019.97	104,000.07	86,101.10	7,037.59	86,200.00	104,000.04	49,131.00	131,158.94	178,899.99	122,844.95	13,484.76	129,999.81	126,297.88
2346	Synthetic Synapses	2346	80,120.00	73,352.53	88,501.00	30,000.01	17,815.55	85,737.49	88,501.00	99,614.00	102,630.40	139,999.99	91,777.98	12,705.56	102,500.00	91,777.98
2348	Gel-Matrix Biopaste	2348	89,254.00	105,434.08	118,000.00	40,000.00	15,779.78	106,600.18	117,216.06	129,336.00	138,201.84	326,000.00	125,000.00	31,112.72	135,000.00	125,067.91
2349	Supercomputers	2349	125,722.00	95,497.30	107,002.03	36,030.00	19,806.48	103,292.58	107,002.01	31,556.00	176,946.60	396,587.25	147,776.99	65,782.43	171,990.88	147,776.99
2351	Smartfab Units	2351	15,166.00	82,978.60	90,000.01	13,000.00	29,725.62	87,002.07	90,000.01	84,976.00	193,564.34	315,000.00	102,999.97	35,440.86	133,374.40	103,753.47
2352	Nuclear Reactors	2352	48,958.00	80,395.64	107,000.09	49,000.00	18,275.49	87,009.01	107,000.09	42,795.00	134,409.02	179,987.75	116,999.92	18,121.75	125,979.34	116,999.92
2354	Neocoms	2354	28,500.00	81,013.96	99,101.00	12,000.00	25,707.85	74,001.01	99,100.17	81,311.00	128,839.19	158,999.99	120,084.60	10,545.16	123,996.50	120,084.61
2358	Biotech Research Reports	2358	63,907.00	108,306.91	120,006.63	70,000.00	10,293.57	107,177.05	120,006.59	22,896.00	131,417.72	182,000.00	127,615.07	16,062.95	129,783.58	128,238.35
2360	Industrial Explosives	2360	34,500.00	66,095.31	74,300.01	58,106.00	6,734.88	62,001.00	74,300.00	85,723.00	90,563.35	124,950.00	80,998.97	10,561.75	91,751.89	81,834.47
2361	Hermetic Membranes	2361	112,756.00	125,156.54	166,667.33	71,000.00	31,636.88	109,000.01	166,667.24	14,420.00	197,384.73	250,000.00	184,996.50	26,093.43	186,499.90	184,996.50
2366	Hazmat Detection Systems	2366	77,165.00	122,870.56	155,000.02	82,400.00	20,879.70	127,011.80	155,000.01	19,144.00	208,593.00	479,999.65	170,999.92	98,193.50	178,999.99	170,999.92
2367	Cryoprotectant Solution	2367	47,734.00	97,317.44	117,000.08	40,010.00	17,765.05	95,007.11	117,000.08	61,908.00	146,383.89	192,999.90	124,000.13	21,198.57	146,998.99	124,000.15
2368	Broken Organic Mortar Applicators	2368	1,000.00	10,000.00	10,000.00	10,000.00	0.00	10,000.00	10,000.00	121.00	1,999,999.65	2,000,000.00	1,999,997.99	0.95	2,000,000.00	1,999,998.00
2369	Broken Sterile Conduits	2369	30.00	200,000.00	200,000.00	200,000.00	0.00	200,000.00	200,000.00	23.00	19,888,350.60	22,499,999.99	7,483,014.99	6,502,544.96	22,499,999.99	7,483,015.00
2371	Broken Nano-Factory	2371	1,000.00	10,000.00	10,000.00	10,000.00	0.00	10,000.00	10,000.00	15.00	19,421,364.47	24,000,000.00	6,830,115.99	6,867,953.30	24,000,000.00	6,830,115.99
2373	Broken Self-Harmonizing Power Core	2373	0.00	0.00	0.00	0.00	0.00	0.00	0.00	139.00	2,966,999.37	10,000,000.00	449,615.74	3,556,482.74	500,000.00	498,457.64
2374	Broken Recursive Computing Module	2374	100.00	26,000.00	26,000.00	26,000.00	0.00	26,000.00	26,000.00	226.00	14,020,831.85	100,000,000.01	3,999,999.99	41,245,708.62	4,000,000.00	4,000,000.00
2375	Broken Broadcast Node	2375	1,000.00	100.01	100.01	100.01	0.00	100.01	100.01	54.00	7,775,897.40	10,000,000.00	4,974,612.99	1,575,382.74	10,000,000.00	4,974,614.33
2376	Broken Integrity Response Drones	2376	10.00	25,800.02	25,800.02	25,800.02	0.00	25,800.02	25,800.02	9.00	2,643,525.55	2,644,412.00	2,643,414.00	431.57	2,643,415.00	2,643,414.00
2377	Broken Wetware Mainframe	2377	1,010.00	10,254.12	35,666.51	10,000.00	12,833.26	10,000.00	10,254.12	1.00	8,000,000.00	8,000,000.00	8,000,000.00	0.00	8,000,000.00	8,000,000.00
2389	Plasmoids	2389	15,769,800.00	333.80	496.99	230.28	102.41	285.97	496.97	12,997,841.00	684.33	947.90	547.00	123.94	629.97	548.35
2390	Electrolytes	2390	14,724,000.00	401.75	418.24	340.16	33.46	380.51	418.24	15,228,950.00	593.80	864.98	476.00	121.77	518.73	476.79
2392	Oxidizing Compound	2392	15,995,467.00	747.95	1,109.00	301.66	243.72	757.90	1,108.18	3,346,873.00	1,280.78	1,350.00	1,227.97	48.66	1,294.05	1,227.97
2393	Bacteria	2393	6,886,755.00	246.88	350.00	100.24	74.30	270.05	335.35	9,844,023.00	633.12	2,000.01	414.00	295.81	691.00	414.00
2395	Proteins	2395	5,405,787.00	708.75	1,008.20	456.46	220.36	500.04	1,008.19	3,334,999.00	1,502.20	2,297.99	1,197.45	294.10	1,450.00	1,197.46
2396	Biofuels	2396	10,615,879.00	180.36	270.00	108.95	60.54	161.67	261.28	15,406,984.00	378.02	750.00	306.85	104.55	324.78	307.41
2397	Industrial Fibers	2397	27,330,747.00	700.94	1,266.20	273.71	355.29	562.51	1,266.18	2,259,356.00	1,497.57	1,650.00	1,396.06	80.50	1,555.00	1,396.06
2398	Reactive Metals	2398	21,441,000.00	299.88	315.74	264.00	13.29	299.02	315.43	15,646,811.00	506.35	1,200.00	399.96	113.25	515.00	412.81
2399	Precious Metals	2399	33,534,800.00	340.20	475.53	275.03	63.04	275.03	475.38	35,835,562.00	1,047.62	2,499.98	534.01	292.53	630.50	534.02
2400	Toxic Metals	2400	8,753,247.00	367.55	515.03	150.00	95.63	373.83	515.03	6,198,096.00	683.51	1,200.00	567.91	131.28	632.00	567.91
2401	Chiral Structures	2401	4,458,400.00	745.03	915.05	400.00	156.69	867.01	915.04	5,622,849.00	1,087.96	1,200.00	1,043.98	51.46	1,094.98	1,043.98
