ID	Name	ID	Buy Vol	Buy Avg	Buy Max	Buy Min	Buy StdDev	Buy Median	Buy Percentile	Sell Vol	Sell Avg	Sell Max	Sell Min	Sell StdDev	Sell Median	Sell Percentile							30002187
609	Maulus	609	1,030.00	357,096.32	380,000.00	350,000.08	8,836.11	351,001.02	370,909.10	529.00	640,537.68	699,999.98	559,096.99	50,674.94	678,310.97	559,097.00							
615	Immolator	615	12.00	176,417,751.67	179,001,006.32	174,000,000.23	1,988,235.39	178,000,000.00	179,001,006.32	4.00	467,500,000.00	500,000,000.00	420,000,000.00	29,474,565.31	475,000,000.00	420,000,000.00							
617	Echo	617	6.00	164,000,167.55	164,001,000.00	164,000,001.06	499.47	164,000,001.06	164,001,000.00	10.00	244,599,999.21	260,000,000.00	241,999,999.34	5,314,132.21	241,999,999.70	241,999,999.34							
620	Osprey	620	355.00	7,481,910.18	8,629,100.01	5,500,000.00	1,229,550.30	7,999,500.03	8,629,076.17	262.00	9,738,217.31	11,451,000.00	9,498,875.07	676,129.38	9,498,975.43	9,498,875.07							
621	Caracal	621	202.00	10,741,681.29	11,111,112.08	7,600,000.00	851,360.34	11,000,000.99	11,111,112.08	544.00	12,754,961.44	19,500,000.00	11,859,986.82	1,585,152.78	11,884,997.40	11,859,986.82							
622	Stabber	622	398.00	7,925,313.87	10,212,000.41	6,202,000.76	1,506,642.86	6,861,269.70	10,212,000.38	159.00	11,449,520.53	12,000,000.00	11,387,989.55	162,127.91	11,387,999.67	11,387,997.57							
623	Moa	623	223.00	8,892,090.26	10,402,000.01	7,210,000.42	1,218,926.52	7,649,504.55	10,401,524.29	149.00	12,160,746.12	21,999,999.99	11,996,988.72	2,018,819.69	11,996,988.75	11,996,988.73							
624	Maller	624	235.00	7,906,382.56	10,200,000.21	59,999.91	3,243,655.37	10,050,000.01	10,200,000.20	358.00	12,112,975.90	13,999,990.00	11,379,987.39	801,781.91	11,799,823.95	11,379,987.39							
625	Augoror	625	399.00	7,705,102.59	8,335,118.01	6,640,000.00	569,140.88	7,999,999.99	8,335,117.30	230.00	10,023,630.17	11,250,000.00	9,466,647.98	629,955.60	10,103,584.16	9,466,647.98							
626	Vexor	626	366.00	9,844,339.48	10,990,000.04	8,002,000.42	976,236.69	10,855,012.66	10,988,637.56	393.00	11,949,332.37	12,855,018.07	11,584,999.35	335,684.08	12,000,000.00	11,584,999.36							
627	Thorax	627	418.00	8,615,687.47	10,010,006.02	5,802,000.00	1,165,219.87	9,702,026.17	10,010,005.79	264.00	11,327,744.88	11,999,999.28	11,110,983.99	358,342.56	11,117,194.49	11,110,983.99							
628	Arbitrator	628	234.00	6,906,333.88	7,910,010.55	4,420,000.42	1,358,676.57	7,900,008.22	7,910,010.54	145.00	9,359,026.59	10,000,000.00	9,000,000.00	235,142.20	9,279,995.49	9,254,761.90							
629	Rupture	629	292.00	8,331,920.16	10,752,001.47	5,820,000.42	1,616,329.76	8,705,507.50	10,752,001.46	138.00	12,999,990.58	12,999,994.84	12,999,989.62	1.67	12,999,989.89	12,999,989.64							
630	Bellicose	630	205.00	6,351,995.25	8,511,311.20	5,515,002.22	1,396,701.70	5,607,501.11	8,511,311.20	179.00	9,658,159.71	10,572,995.93	8,999,998.92	546,100.19	9,399,997.68	8,999,998.92							
631	Scythe	631	174.00	6,212,281.22	8,505,000.45	5,430,000.42	1,377,023.99	5,654,500.61	8,505,000.44	283.00	9,614,896.35	10,999,999.66	9,285,030.65	587,330.26	9,285,031.23	9,285,030.65							
632	Blackbird	632	240.00	6,768,245.77	8,547,003.02	5,500,000.00	1,307,108.31	5,700,000.00	8,049,727.54	274.00	10,304,429.95	11,999,899.75	9,299,899.98	928,261.79	9,500,000.00	9,299,899.98							
633	Celestis	633	243.00	7,326,672.13	8,000,009.89	6,092,000.42	541,740.91	7,583,003.51	8,000,009.89	122.00	9,571,839.53	9,999,948.00	9,289,999.95	267,257.86	9,588,000.00	9,289,999.96							
634	Exequror	634	263.00	6,757,441.84	8,022,303.03	5,031,001.42	1,136,915.66	5,599,500.61	8,022,303.03	335.00	9,802,381.89	15,000,000.00	9,399,990.39	1,225,756.82	9,450,000.00	9,399,990.42							
638	Raven	638	46.00	169,143,906.19	175,550,002.03	157,000,000.42	5,516,279.28	171,006,000.59	175,550,002.02	34.00	200,593,484.73	211,295,979.00	189,499,989.83	8,017,777.65	197,840,000.00	189,499,989.83							
639	Tempest	639	44.00	166,823,208.08	171,201,000.05	149,000,000.42	7,448,954.52	169,500,007.43	171,200,500.05	28.00	185,464,177.00	185,999,498.93	184,999,999.99	269,142.43	185,499,893.09	184,999,999.99							
640	Scorpion	640	58.00	156,598,391.53	162,991,330.01	80,000,000.00	17,212,028.94	159,150,006.30	162,991,330.00	25.00	196,704,364.58	217,999,995.99	173,555,554.99	14,379,853.48	200,991,944.35	173,555,554.99							
641	Megathron	641	65.00	179,254,685.51	182,751,001.38	159,990,000.00	4,824,337.99	182,628,058.53	182,751,001.37	87.00	215,655,056.93	278,451,541.54	198,579,899.85	16,307,901.18	199,180,999.95	198,579,899.86							
642	Apocalypse	642	76.00	180,217,798.22	185,057,001.21	156,999,999.88	5,891,500.20	182,617,009.37	185,056,375.30	60.00	199,645,160.66	227,322,002.17	194,999,998.96	8,004,587.58	195,849,986.90	194,999,998.97							
643	Armageddon	643	46.00	183,452,481.88	201,000,006.12	164,999,999.99	10,603,938.77	185,999,999.99	195,618,274.20	90.00	220,873,166.06	229,999,999.98	209,009,000.00	6,247,097.99	219,998,999.00	209,339,000.28							
644	Typhoon	644	68.00	170,645,708.53	175,300,001.00	150,990,100.00	5,308,587.07	175,126,500.05	175,300,000.93	47.00	190,539,004.25	235,499,000.00	185,128,989.91	12,154,842.64	186,999,993.92	185,128,989.92							
645	Dominix	645	46.00	179,056,327.81	182,002,003.03	156,000,001.20	9,066,884.41	182,002,001.90	182,002,003.02	47.00	212,134,229.96	239,889,938.66	199,999,920.47	10,277,655.68	213,631,038.71	199,999,920.48							
648	Badger	648	578.00	817,597.74	830,002.17	400,000.03	121,816.46	830,002.00	830,002.16	511.00	1,259,978.50	1,378,990.01	1,049,999.98	119,004.72	1,316,419.50	1,074,868.41							
649	Tayra	649	338.00	1,299,812.15	1,300,901.31	1,267,304.02	11,727.57	1,300,801.10	1,300,901.31	225.00	1,837,689.13	4,800,000.00	1,478,489.94	983,139.77	1,478,499.94	1,478,489.95							
650	Nereus	650	884.00	908,178.02	1,100,900.02	389,223.23	264,939.35	1,100,330.04	1,100,900.02	410.00	1,627,462.62	1,989,962.00	1,400,900.02	115,849.73	1,623,773.44	1,568,320.12							
651	Hoarder	651	330.00	624,794.24	896,010.38	1,000.00	333,550.18	896,007.62	896,010.38	610.00	1,177,130.03	1,524,969.98	1,134,695.27	127,897.01	1,134,698.00	1,134,696.93							
652	Mammoth	652	371.00	879,752.84	1,204,093.60	1,000.00	397,787.03	1,204,088.32	1,204,093.59	108.00	1,683,472.39	1,992,021.00	1,449,999.97	216,805.37	1,789,999.99	1,450,000.00							
653	Wreathe	653	627.00	748,833.08	900,603.05	1,000.00	294,462.31	900,602.53	900,603.04	282.00	1,399,995.56	1,399,998.93	1,399,994.99	1.85	1,399,995.00	1,399,994.99							
654	Kryos	654	585.00	599,043.83	723,100.14	300,000.00	171,065.64	710,004.01	723,100.01	109.00	1,252,357.67	2,498,999.98	1,173,999.99	433,621.80	1,199,499.99	1,173,999.99							
655	Epithal	655	665.00	716,707.95	1,111,000.12	380,000.00	313,973.75	393,101.71	1,111,000.11	328.00	1,400,307.27	1,699,976.96	1,299,999.00	86,762.54	1,346,949.88	1,339,080.48							
656	Miasmos	656	781.00	816,901.23	1,100,700.01	10,000.01	429,317.09	1,100,256.52	1,100,700.01	244.00	1,488,262.22	1,822,221.71	1,398,998.94	195,116.26	1,398,998.98	1,398,998.95							
657	Iteron Mark V	657	610.00	1,355,242.12	1,379,030.05	1,223,000.55	56,896.55	1,379,024.46	1,379,030.03	292.00	1,780,702.72	2,649,983.69	1,592,989.85	292,718.32	1,700,000.00	1,592,989.88							
672	Caldari Shuttle	672	6,400.00	12,034.80	12,200.75	12,000.11	99.40	12,000.57	12,200.54	3,107.00	61,129.21	94,999.99	47,585.50	11,154.96	61,999.98	47,749.91							
1223	Bistot	1223	682,500.00	3,535.09	5,051.13	1,100.05	1,858.52	5,050.46	5,051.11	9,127.00	7,913.38	69,998.00	6,899.00	22,057.23	6,987.00	6,899.00							
1224	Pyroxeres	1224	117,000,000.00	46.86	52.84	16.00	14.68	52.82	52.84	25,911,690.00	60.70	61.99	53.00	2.39	61.99	54.30							
1225	Crokite	1225	552,500.00	2,997.96	3,760.92	751.05	1,416.37	3,760.53	3,760.91	3,263.00	4,462.08	4,499.95	4,459.93	17.31	4,459.96	4,459.93							
1226	Jaspet	1226	16,260,000.00	301.98	432.49	225.00	73.02	225.00	432.47	186,105.00	627.56	850.00	489.98	158.55	497.94	489.98							
1227	Omber	1227	28,150,000.00	91.63	100.14	50.00	19.34	89.13	100.11	2,650,174.00	159.74	199.99	145.00	14.21	149.99	149.63							
1228	Scordite	1228	130,999,999.00	24.14	27.38	10.00	5.98	27.34	27.38	9,143,400.00	31.12	35.66	28.48	1.82	29.88	28.50							
1229	Gneiss	1229	2,124,457.00	893.87	1,305.22	305.70	489.57	1,305.19	1,305.22	7,852.00	1,673.01	1,700.00	1,655.00	21.21	1,655.00	1,655.00							
1230	Veldspar	1230	733,897,367.00	17.06	18.00	8.06	4.46	17.50	18.00	41,781,773.00	18.79	24.99	18.47	2.01	18.75	18.60							
1231	Hemorphite	1231	6,300,000.00	611.55	646.27	450.00	74.93	646.02	646.22	195,169.00	1,250.25	1,389.97	899.99	155.02	1,389.97	899.99							
1232	Dark Ochre	1232	1,507,096.00	807.13	1,708.25	289.01	704.58	290.00	1,708.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
1944	Bestower	1944	774.00	1,111,649.62	1,142,040.94	1,000,788.02	52,508.88	1,136,032.66	1,142,040.91	150.00	2,001,990.41	2,299,989.96	1,999,988.30	119,998.83	1,999,988.31	1,999,988.30							
2006	Omen	2006	306.00	9,539,525.26	11,088,889.28	6,110,001.01	1,679,005.48	10,100,001.87	11,088,889.27	276.00	12,851,687.64	14,000,002.76	12,442,995.48	439,572.27	13,185,165.01	12,442,995.49							
2073	Microorganisms	2073	53,000,213.00	0.87	0.89	0.85	0.01	0.88	0.89	5,321,971.00	3.23	4.50	2.90	0.63	2.95	2.90							
2078	Zephyr	2078	30.00	26,618,213.86	37,104,217.99	14,000,002.00	7,630,296.73	29,000,041.20	37,102,072.66	52.00	47,014,401.51	54,000,000.00	43,999,950.50	2,583,038.18	43,999,994.92	43,999,950.53							
2161	Crucifier	2161	1,274.00	349,562.65	400,000.20	190,000.19	59,454.49	374,130.07	400,000.17	1,531.00	706,099.78	899,999.95	479,998.91	108,021.85	749,996.74	479,998.94							
2267	Base Metals	2267	36,922,200.00	2.04	2.08	1.01	0.45	2.04	2.08	96,225,361.00	4.23	8.94	2.97	2.29	3.05	3.05							
2268	Aqueous Liquids	2268	189,000,000.00	1.10	1.62	0.16	0.66	1.13	1.61	68,598,631.00	3.00	4.98	2.17	0.93	2.34	2.19							
2270	Noble Metals	2270	256,440,000.00	3.63	4.86	2.20	0.85	3.90	4.84	54,486,419.00	6.95	8.98	6.45	0.91	6.77	6.45							
2272	Heavy Metals	2272	160,500,000.00	2.73	4.12	2.04	0.94	2.06	4.12	66,430,486.00	5.68	5.99	5.44	0.16	5.74	5.44							
2286	Planktic Colonies	2286	22,000,000.00	2.92	3.02	2.66	0.15	3.01	3.02	431,221.00	11.99	11.99	11.99	0.00	11.99	11.99							
2287	Complex Organisms	2287	69,999,999.00	6.14	7.10	2.15	1.94	7.02	7.10	517,714.00	11.97	12.00	11.97	0.01	11.99	11.97							
2288	Carbon Compounds	2288	15,000,000.00	1.16	1.17	1.16	0.01	1.16	1.17	198,448,428.00	5.00	5.00	3.95	0.49	5.00	5.00							
2305	Autotrophs	2305	22,000,000.00	3.27	5.00	1.00	1.33	3.91	3.99	10,934,593.00	11.82	12.00	8.95	1.53	12.00	8.95							
2306	Non-CS Crystals	2306	186,999,999.00	4.19	5.13	2.15	1.25	3.30	5.13	3,000,000.00	8.17	8.17	8.16	0.00	8.17	8.16							
2307	Felsic Magma	2307	97,100,000.00	4.09	4.54	1.00	1.54	4.54	4.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2308	Suspended Plasma	2308	95,000,000.00	1.59	1.86	1.25	0.21	1.61	1.86	30,058,373.00	2.92	4.00	2.65	0.53	2.65	2.65							
2309	Ionic Solutions	2309	70,000,000.00	3.56	3.56	3.55	0.01	3.55	3.56	938,756.00	5.72	5.73	5.71	0.01	5.72	5.71							
2310	Noble Gas	2310	81,000,000.00	0.47	0.97	0.20	0.29	0.20	0.96	32,757,556.00	1.80	2.90	1.36	0.39	1.79	1.36							
2311	Reactive Gas	2311	114,000,000.00	3.91	6.01	1.18	1.86	2.56	6.01	2,761,361.00	34.39	300.00	9.00	125.80	154.94	9.00							
2312	Supertensile Plastics	2312	258,960.00	10,614.32	11,700.00	4,686.00	1,859.21	11,600.01	11,700.00	165,720.00	17,461.24	27,499.00	13,800.00	4,583.57	16,699.89	13,885.46							
2317	Oxides	2317	156,000.00	4,876.89	6,800.01	10.00	2,419.11	6,100.00	6,800.01	445,413.00	11,020.37	16,898.00	7,799.00	2,576.45	10,500.00	7,799.89							
2319	Test Cultures	2319	151,000.00	3,820.86	5,750.00	1,000.00	1,515.52	3,401.50	5,750.00	484,718.00	8,697.85	23,000.00	6,199.97	3,464.55	8,164.49	6,199.99							
2321	Polyaramids	2321	247,686.00	15,865.55	21,505.00	6,323.00	4,952.53	15,750.00	21,505.00	780.00	50,000.00	50,000.00	50,000.00	0.00	50,000.00	50,000.00							
2327	Microfiber Shielding	2327	278,260.00	16,763.12	21,000.02	4,200.00	5,182.17	20,800.02	21,000.02	83,191.00	30,109.61	37,998.97	25,449.84	3,987.51	25,952.54	25,449.85							
2328	Water-Cooled CPU	2328	248,147.00	4,865.14	5,950.01	3,000.00	1,169.01	4,800.01	5,950.01	171,489.00	8,173.57	12,498.98	6,400.00	1,728.05	7,578.96	6,443.40							
2329	Biocells	2329	548,426.00	9,018.02	9,707.50	5,000.00	1,200.65	9,551.00	9,707.50	61,220.00	14,271.98	77,500.00	11,893.90	21,696.31	11,893.96	11,893.90							
2344	Condensates	2344	46,500.00	52,280.14	59,003.00	20,000.00	14,408.69	58,200.01	59,003.00	13,049.00	73,102.90	74,997.96	65,000.00	2,834.94	72,996.00	68,537.42							
2345	Camera Drones	2345	11,188.00	81,475.78	96,000.01	10,000.00	32,902.58	96,000.00	96,000.01	5,030.00	145,810.09	149,999.95	120,000.01	10,853.18	149,499.98	120,000.01							
2346	Synthetic Synapses	2346	16,303.00	73,937.19	85,400.11	52,136.00	10,157.80	73,500.00	85,400.11	30,655.00	103,662.96	119,999.98	97,998.99	6,321.72	99,495.00	97,999.00							
2348	Gel-Matrix Biopaste	2348	48,755.00	101,468.36	118,000.00	53,904.93	18,523.39	98,952.55	118,000.00	86,923.00	138,781.72	169,994.99	128,748.99	12,899.23	136,997.85	128,749.83							
2349	Supercomputers	2349	11,240.00	79,740.36	97,001.02	4,000.00	36,791.25	97,000.00	97,001.02	20,429.00	149,919.80	174,985.00	124,000.49	14,115.87	144,997.00	144,995.62							
2351	Smartfab Units	2351	16,743.00	89,339.14	98,001.51	48,783.00	14,776.76	92,000.10	98,001.51	8,053.00	124,117.58	131,900.00	119,998.84	3,860.21	121,624.50	119,998.84							
2352	Nuclear Reactors	2352	8,960.00	57,235.06	87,001.59	10,000.00	25,179.09	64,005.33	87,001.59	3,711.00	140,537.00	149,000.00	125,998.24	10,467.52	149,000.00	125,998.25							
2354	Neocoms	2354	31,400.00	66,532.08	106,000.14	10,000.01	42,379.76	90,000.00	106,000.14	8,554.00	131,713.30	168,000.00	128,499.97	15,040.04	128,554.99	128,499.97							
2358	Biotech Research Reports	2358	9,200.00	90,128.81	99,901.00	10,000.00	35,960.11	99,901.00	99,901.00	798.00	130,000.00	130,000.00	130,000.00	0.00	130,000.00	130,000.00							
2360	Industrial Explosives	2360	19,600.00	28,096.74	61,000.01	100.00	24,667.34	100.00	61,000.01	10,546.00	98,938.37	99,099.00	98,897.99	74.50	98,900.00	98,897.99							
2361	Hermetic Membranes	2361	25,304.00	115,372.97	161,002.40	78,300.05	19,643.23	117,500.01	141,002.44	24,416.00	189,921.98	189,922.00	189,921.89	0.05	189,921.99	189,921.89							
2366	Hazmat Detection Systems	2366	13,000.00	95,230.78	104,000.00	10,000.00	39,732.70	100,500.02	104,000.00	5,846.00	164,008.14	165,000.01	163,747.99	485.27	163,999.98	163,747.99							
2367	Cryoprotectant Solution	2367	26,576.00	76,663.08	115,602.71	39,995.00	21,851.42	83,509.00	114,908.93	37,488.00	136,850.24	181,000.05	134,345.75	14,530.70	134,350.00	134,345.75							
2368	Broken Organic Mortar Applicators	2368	10,000.00	3.00	3.00	3.00	0.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2369	Broken Sterile Conduits	2369	10,000.00	3.00	3.00	3.00	0.00	3.00	3.00	1.00	49,999,999.00	49,999,999.00	49,999,999.00	0.00	49,999,999.00	49,999,999.00							
2371	Broken Nano-Factory	2371	10,000.00	3.00	3.00	3.00	0.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2373	Broken Self-Harmonizing Power Core	2373	10,000.00	3.00	3.00	3.00	0.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2374	Broken Recursive Computing Module	2374	10,000.00	3.00	3.00	3.00	0.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2375	Broken Broadcast Node	2375	10,000.00	3.00	3.00	3.00	0.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2376	Broken Integrity Response Drones	2376	10,000.00	3.00	3.00	3.00	0.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2377	Broken Wetware Mainframe	2377	10,000.00	3.00	3.00	3.00	0.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2389	Plasmoids	2389	7,855,678.00	312.11	356.75	190.00	55.16	351.59	356.75	469,250.00	548.33	549.99	531.99	8.66	549.98	532.00							
2390	Electrolytes	2390	5,559,095.00	352.08	419.20	260.00	49.64	360.02	419.20	5,920,174.00	559.26	628.90	457.00	70.92	597.00	458.80							
2392	Oxidizing Compound	2392	3,197,340.00	571.61	965.50	220.00	278.12	401.51	965.50	2,143,315.00	1,380.73	2,222.22	1,195.96	285.96	1,196.81	1,195.96							
2393	Bacteria	2393	6,414,413.00	275.70	319.00	190.00	36.93	267.17	318.67	3,338,948.00	516.59	1,216.00	379.99	207.45	537.75	384.46							
2395	Proteins	2395	2,094,000.00	759.74	1,075.00	325.99	285.16	652.00	1,075.00	1,310,233.00	1,523.91	1,998.00	1,290.00	227.25	1,348.90	1,298.96							
2396	Biofuels	2396	6,133,200.00	201.91	258.50	120.30	46.09	226.03	258.50	2,919,185.00	351.98	650.00	280.00	130.84	299.99	282.49							
2397	Industrial Fibers	2397	5,988,300.00	638.09	1,205.00	226.03	355.79	512.50	1,201.50	1,459,038.00	1,799.88	2,222.22	1,644.00	153.24	1,722.95	1,644.00							
2398	Reactive Metals	2398	8,294,304.00	326.70	385.05	100.00	64.64	319.01	385.04	3,732,992.00	466.64	750.00	409.00	87.85	441.50	411.33							
2399	Precious Metals	2399	5,004,562.00	370.44	451.01	280.00	74.06	352.02	450.80	4,912,443.00	773.27	1,111.10	588.96	131.84	699.99	588.97							
2400	Toxic Metals	2400	6,239,398.00	407.95	502.03	275.00	66.50	380.01	502.02	3,651,434.00	671.02	1,150.00	520.00	163.49	659.48	537.38							
2401	Chiral Structures	2401	5,968,880.00	764.50	894.01	450.02	130.13	874.08	894.01	237,431.00	1,181.16	1,198.98	1,090.00	46.13	1,198.98	1,090.00							
2463	Nanites	2463	411,640.00	5,064.25	5,556.00	2,375.00	891.24	5,210.15	5,555.67	343,434.00	7,056.27	7,499.81	5,749.10	628.15	7,394.79	5,836.32							
2834	Utu	2834	1.00	11,111,111.11	11,111,111.11	11,111,111.11	0.00	11,111,111.11	11,111,111.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
